x_data,y_data,coverage,redundancy,effort
6,4,0.0,,0.0
7,4,0.0,,0.0
8,4,0.0,,0.0
9,4,0.0,,0.0
10,4,0.0,,0.0
11,4,8.0,0.00034423407917383823,0.0
12,4,12.0,0.0004589787722317843,0.0
13,4,16.0,0.0005163511187607574,0.0
14,4,20.0,0.0005507745266781412,0.0
15,4,24.0,0.0005737234652897304,0.0
15,5,24.0,0.00065978198508319,0.0
16,5,26.0,0.0006884681583476764,0.0
16,4,28.0,0.0007376444553725104,0.0
17,4,31.0,0.0007328854588862363,0.0
18,4,35.0,0.0007179739365625768,0.0
19,5,39.0,0.0007149477028995101,1.4142135623730951
20,5,42.0,0.0007294484058683715,1.4142135623730951
20,4,46.0,0.0007258849060839633,1.4142135623730951
20,5,46.0,0.0007857517024620222,1.4142135623730951
21,5,49.0,0.0007938459376866066,1.4142135623730951
21,4,51.0,0.0008167122270594984,1.4142135623730951
21,3,55.0,0.0008073853856986387,1.4142135623730951
22,3,57.0,0.0008152912401485641,1.4142135623730951
22,4,57.0,0.0008515264063773892,1.4142135623730951
22,5,57.0,0.0008877615726062143,1.4142135623730951
22,6,58.0,0.000908065760579263,1.4142135623730951
22,5,58.0,0.0009436761825627634,1.4142135623730951
22,4,58.0,0.0009792866045462637,1.4142135623730951
22,3,58.0,0.0010148970265297643,1.4142135623730951
22,2,59.0,0.0010210332856851133,1.4142135623730951
22,3,59.0,0.0010560401411943174,1.4142135623730951
21,3,59.0,0.0011027159485399224,1.4142135623730951
20,3,60.0,0.0011302352266207686,1.4142135623730951
19,4,60.0,0.0011761331038439473,2.8284271247461903
19,5,60.0,0.0012220309810671258,2.8284271247461903
18,5,61.0,0.001241499957676138,2.8284271247461903
18,6,62.0,0.0012603409027816335,2.8284271247461903
19,6,62.0,0.0012936538781855532,2.8284271247461903
18,6,62.0,0.001332519016156793,2.8284271247461903
18,7,65.0,0.0013027935919502182,2.8284271247461903
18,8,67.0,0.0012895933413825877,2.8284271247461903
19,8,69.0,0.0012871361221282647,2.8284271247461903
20,8,71.0,0.001279968970449201,2.8284271247461903
20,9,73.0,0.0012731945394100863,2.8284271247461903
21,9,76.0,0.0012546426306730683,2.8284271247461903
21,10,78.0,0.001257778366212101,2.8284271247461903
22,10,80.0,0.0012607573149741823,2.8284271247461903
23,10,83.0,0.0012483669618231963,2.8284271247461903
24,10,86.0,0.0012288356082135854,2.8284271247461903
25,10,89.0,0.0012106209750720378,2.8284271247461903
25,11,91.0,0.0012142762573055172,2.8284271247461903
26,11,94.0,0.0012048192771084336,2.8284271247461903
26,10,96.0,0.0012048192771084338,2.8284271247461903
27,10,99.0,0.001189172273509623,2.8284271247461903
28,10,102.0,0.0011744456818872128,2.8284271247461903
29,10,105.0,0.001160560609786083,2.8284271247461903
29,9,108.0,0.0011442595779945176,2.8284271247461903
30,9,111.0,0.0011319408909770355,2.8284271247461903
31,8,117.0,0.0010974300130926636,4.242640687119286
31,7,121.0,0.0010839106129358045,4.242640687119286
31,6,125.0,0.0010712564543889844,4.242640687119286
32,6,129.0,0.0010593870498605718,4.242640687119286
33,6,133.0,0.0010482315944767254,4.242640687119286
34,6,137.0,0.0010377275525459502,4.242640687119286
34,7,137.0,0.001052803497619257,4.242640687119286
34,7,137.0,0.001067879442692564,4.242640687119286
34,7,137.0,0.0010829553877658707,4.242640687119286
34,6,137.0,0.001103056647863613,4.242640687119286
33,6,137.0,0.0011231579079613553,4.242640687119286
33,5,140.0,0.0011187607573149743,4.242640687119286
32,5,141.0,0.0011303572954431708,4.242640687119286
31,5,142.0,0.0011417905020484353,4.242640687119286
31,6,142.0,0.0011611839712976654,4.242640687119286
30,6,144.0,0.001164180531650411,4.242640687119286
30,7,146.0,0.001167094994459246,4.242640687119286
29,7,146.0,0.001176526065121543,4.242640687119286
30,7,146.0,0.0011953882064461368,4.242640687119286
31,8,146.0,0.0012142503477707307,5.656854249492381
31,9,147.0,0.001222382240331589,5.656854249492381
32,9,149.0,0.0012244567916921763,5.656854249492381
33,9,151.0,0.0012264763880498345,5.656854249492381
34,9,154.0,0.0012204662807072447,5.656854249492381
35,10,157.0,0.0012103007114901828,7.0710678118654755
36,10,159.0,0.0012080667684213947,7.0710678118654755
37,10,162.0,0.0011984445719385479,7.0710678118654755
38,10,166.0,0.0011840822843871184,7.0710678118654755
38,9,169.0,0.001175284400492927,7.0710678118654755
37,9,169.0,0.001183431952662722,7.0710678118654755
38,9,169.0,0.0011956532809174144,7.0710678118654755
38,10,169.0,0.0012099114972145557,7.0710678118654755
39,10,171.0,0.0012078388742941693,7.0710678118654755
40,10,173.0,0.001205814173291017,7.0710678118654755
41,9,176.0,0.0011930840244093258,8.485281374238571
42,9,178.0,0.001187414183217622,8.485281374238571
43,10,181.0,0.0011791443596009929,9.899494936611667
44,10,183.0,0.0011775438992503975,9.899494936611667
44,11,185.0,0.001179699492952505,9.899494936611667
45,11,188.0,0.001175522759731937,9.899494936611667
46,11,191.0,0.0011714772327905492,9.899494936611667
47,10,195.0,0.0011580387484001944,11.313708498984763
48,9,200.0,0.0011394148020654046,12.727922061357859
49,9,203.0,0.0011327505659513494,12.727922061357859
49,10,206.0,0.0011262804338017815,12.727922061357859
50,10,208.0,0.0011253806434529327,12.727922061357859
51,10,210.0,0.0011244979919678715,12.727922061357859
52,10,213.0,0.0011183567267056154,12.727922061357859
53,10,216.0,0.0011123860521450885,12.727922061357859
54,10,219.0,0.0011065789577095074,12.727922061357859
54,11,221.0,0.001109025630641506,12.727922061357859
53,11,222.0,0.0011164348513746105,12.727922061357859
53,10,222.0,0.0011257384751360657,12.727922061357859
54,10,222.0,0.0011350420988975206,12.727922061357859
54,9,224.0,0.0011310548315711828,12.727922061357859
54,8,225.0,0.001130617708930962,12.727922061357859
54,7,227.0,0.001125205668488934,12.727922061357859
54,6,229.0,0.0011213913670903202,12.727922061357859
54,5,231.0,0.0011176431142007734,12.727922061357859
54,4,233.0,0.0011139592090003178,12.727922061357859
54,3,235.0,0.0011103380085692315,12.727922061357859
