,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y
0,71.5,121.5,71.5,121.5,71.5,121.5
1,71.5,121.5,71.5,121.5,71.5,121.5
2,71.5,121.5,71.5,121.5,71.5,121.5
3,71.5,121.5,71.5,121.5,71.5,121.5
4,71.5,121.5,71.5,121.5,71.5,121.5
5,71.5,121.5,71.5,121.5,71.5,121.5
6,71.5,121.5,71.5,121.5,71.5,121.5
7,71.5,121.5,71.5,121.5,71.5,121.5
8,71.5,121.5,71.5,121.5,71.5,121.5
9,71.5,121.5,71.5,121.5,71.5,121.5
10,71.5,121.5,71.5,121.5,71.5,121.5
11,71.5,121.5,71.5,121.5,71.5,121.5
12,71.5,121.5,71.5,121.5,71.5,121.5
13,71.5,121.5,71.5,121.5,71.5,121.5
14,71.5,121.5,71.5,121.5,71.5,121.5
15,71.5,121.5,71.5,121.5,71.5,121.5
16,71.5,121.5,71.5,121.5,71.5,121.5
17,71.5,121.5,71.5,121.5,71.5,121.5
18,71.5,121.5,71.5,121.5,71.5,121.5
19,71.5,121.5,71.5,121.5,71.5,121.5
20,71.5,121.5,71.5,121.5,71.5,121.5
21,71.5,121.5,71.5,121.5,71.5,121.5
22,71.5,121.5,71.5,121.5,71.5,121.5
23,71.5,121.5,71.5,121.5,71.5,121.5
24,71.5,121.5,71.5,121.5,71.5,121.5
25,71.5,121.5,71.5,121.5,71.5,121.5
26,71.5,121.5,71.5,121.5,71.5,121.5
27,71.5,121.5,71.5,121.5,71.5,121.5
28,71.2542028,121.4572049,71.5,121.5,71.5,121.5
29,70.8797522,121.4155578,71.5,121.5,71.5,121.5
30,70.47516913,121.4669741,71.5,121.5,71.5,121.5
31,70.18289195,121.592415,71.5,121.5,71.5,121.5
32,70.09575943,121.6298109,71.5,121.5,71.5,121.5
33,69.98390179,121.5937546,71.5,121.5,71.5,121.5
34,69.68097832,121.4447459,71.5,121.5,71.5,121.5
35,69.30299186,121.3190271,71.5,121.5,71.5,121.5
36,68.92357649,121.401933,71.5,121.5,71.5,121.5
37,68.66232648,121.6840779,71.5,121.5,71.5,121.5
38,68.51729993,122.0635957,71.5,121.5,71.5,121.5
39,68.41031273,122.4729635,71.5,121.5,71.5,121.5
40,68.31466568,122.89123,71.5,121.5,71.5,121.5
41,68.24301782,123.2163449,71.5,121.5,71.5,121.5
42,68.22165844,123.3132669,71.5,121.5,71.5,121.5
43,68.22165844,123.3132669,71.5,121.5,71.5,121.5
44,68.2175397,123.3477326,71.5,121.5,71.5,121.5
45,68.2175397,123.3477326,71.5,121.5,71.5,121.5
46,68.2175397,123.3477326,71.5,121.5,71.5,121.5
47,68.30508834,123.3948114,71.5,121.5,71.5,121.5
48,68.6120435,123.5208614,71.5,121.5,71.5,121.5
49,68.99266607,123.6490527,71.5,121.5,71.5,121.5
50,69.39703498,123.7720977,71.5,121.5,71.5,121.5
51,69.76262255,123.9536284,71.5,121.5,71.5,121.5
52,70.02078052,124.2785825,71.5,121.5,71.5,121.5
53,70.25970983,124.6385779,71.5,121.5,71.5,121.5
54,70.54369742,124.9688171,71.5,121.5,71.5,121.5
55,71.03442195,125.4059223,71.5,121.5,71.5,121.5
56,71.17627325,125.5252464,71.5,121.5,71.5,121.5
57,71.20362651,125.5482557,71.5,121.5,71.5,121.5
58,71.22671584,125.5676782,71.5,121.5,71.59498227,121.4434776
59,71.22671584,125.5676782,71.5,121.5,71.68160238,121.3918544
60,71.13344985,125.5788483,71.5,121.5,71.70742522,121.3764647
61,70.80213626,125.6035133,71.5,121.5,71.70742522,121.3764647
62,70.40093037,125.6295331,71.5,121.5,71.70742522,121.3764647
63,70.07652153,125.6465593,71.5,121.5,71.70742522,121.3764647
64,69.97981004,125.6498425,71.5,121.5,71.70742522,121.3764647
65,69.97981004,125.6498425,71.5,121.5,71.70742522,121.3764647
66,69.94541924,125.6498425,71.5,121.5,71.70742522,121.3764647
67,69.94541924,125.6498425,71.5,121.5,71.70742522,121.3764647
68,69.94541924,125.6498425,71.5,121.5,71.70742522,121.3764647
69,69.94541924,125.6498425,71.5,121.5,71.70742522,121.3764647
70,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
71,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
72,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
73,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
74,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
75,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
76,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
77,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
78,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
79,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
80,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
81,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
82,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
83,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
84,69.94541924,125.6498425,71.5,121.5,71.71240466,121.3764647
85,69.94541924,125.6498425,71.5,121.5,71.74545071,121.3391127
86,69.94541924,125.6498425,71.5,121.5,71.77334541,121.3075833
87,69.94541924,125.6498425,71.5,121.5,71.77334541,121.3075833
88,69.94541924,125.6498425,71.5,121.5,71.77334541,121.3075833
89,69.94541924,125.6498425,71.5,121.5,71.77334541,121.3075833
90,69.94541924,125.6498425,71.5,121.5,71.77334541,121.3075833
91,69.86598894,125.592442,71.5,121.5,71.77334541,121.3075833
92,69.58138923,125.4242419,71.5,121.5,71.77334541,121.3075833
93,69.20345246,125.3593824,71.5,121.5,71.77334541,121.3075833
94,68.75551813,125.6997808,71.5,121.5,71.77334541,121.3075833
95,68.65250574,125.8301264,71.5,121.5,71.77334541,121.3075833
96,68.6326418,125.855261,71.5,121.5,71.77872436,121.2981838
97,68.6534426,125.7914664,71.5,121.5,71.77872436,121.2981838
98,68.70331515,125.4738831,71.5,121.5,71.77872436,121.2981838
99,68.5770222,125.1118757,71.5,121.5,71.77872436,121.2981838
100,68.56966203,124.7101811,71.5,121.5,71.77872436,121.2981838
101,68.63665261,124.2890692,71.5,121.5,71.77872436,121.2981838
102,68.88018787,123.9777323,71.5,121.5,71.77872436,121.2981838
103,69.2094908,123.7239109,71.5,121.5,71.77872436,121.2981838
104,69.49764185,123.8227675,71.5,121.5,71.77872436,121.2981838
105,69.78013346,124.0827939,71.5,121.5,71.77872436,121.2981838
106,70.06233654,124.3897014,71.5,121.5,71.68248585,120.6875138
107,70.34445361,124.7105849,71.5,121.5,71.62341043,120.3126577
108,70.62654503,125.0356349,71.5,121.5,71.57449007,120.0022394
109,70.9086288,125.3619269,71.5,121.5,71.53397912,119.7451819
110,71.19572414,125.6839837,71.5,121.5,71.500432,119.5323126
111,71.53786537,125.933076,71.5,121.5,71.4779459,119.3896297
112,71.69066408,126.0241383,71.5,121.5,71.47360989,119.3470937
113,71.72012835,126.041698,71.5,121.5,71.47360989,119.3470937
114,71.74979555,126.0565203,71.5,121.5,71.47360989,119.3470937
115,71.74979555,126.0565203,71.5,121.5,71.47360989,119.3470937
116,71.80739984,126.2992876,71.5,121.5,71.47360989,119.3470937
117,72.05365547,126.557325,71.5,121.5,71.47360989,119.3470937
